keys,en,pt_BR
"Delete my account (erase personal data)","Delete my account (erase personal data)","Excluir minha conta (apagar meus dados pessoais)"
"I have read and accept the Terms of Use and Privacy Policy","I have read and accept the Terms of Use and Privacy Policy","Li e aceito os Termos de Uso e a Política de Privacidade"
"Create","Create","Criar"
"Create Account","Create Account","Criar conta"
"Cancel","Cancel","Cancelar"
"Login","Login","Entrar"
"You must read and accept the Terms of Use and Privacy Policy to register.","You must read and accept the Terms of Use and Privacy Policy to register.","Você precisa ler e aceitar os Termos de Uso e a Política de Privacidade para se cadastrar."
"Your account has been deleted and your personal data erased.","Your account has been deleted and your personal data erased.","Sua conta foi excluída e seus dados pessoais apagados."
"Refund approved (gems reversed; provider refund in progress).","Refund approved (gems reversed; provider refund in progress).","Reembolso aprovado (gems estornadas; estorno no provedor em andamento)."
"Refund denied: %s","Refund denied: %s","Reembolso recusado: %s"
"Boss keys: %d    •    Bosses defeated: %d/%d","Boss keys: %d    •    Bosses defeated: %d/%d","Chaves de chefe: %d    •    Chefes derrotados: %d/%d"
"No boss keys. Farm mobs drop them (~%d%% per kill).","No boss keys. Farm mobs drop them (~%d%% per kill).","Sem chaves de chefe. Os monstros derrubam (~%d%% por abate)."
"Ladder complete — you defeated every boss!","Ladder complete — you defeated every boss!","Escada completa — você derrotou todos os chefes!"
"Away: %.1fh","Away: %.1fh","Ausente: %.1fh"
"+%s XP","+%s XP","+%s XP"
"+%s gold","+%s gold","+%s ouro"
"Efficiency: %d%%","Efficiency: %d%%","Eficiência: %d%%"
